,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
415,63,2025,9,Mercedes,4.0,4.0,71.848,11.0,7.0,4.0,0.3019999999999925
416,63,2025,10,Mercedes,1.0,1.0,70.899,4.0,7.333333333333333,3.511884584284246,0.0
417,63,2025,11,Mercedes,5.0,5.0,64.763,1.0,5.333333333333333,5.131601439446884,0.7920000000000087
418,63,2025,12,Mercedes,10.0,4.0,85.029,5.0,3.333333333333333,2.081665999466133,0.1370000000000004
419,63,2025,13,Mercedes,5.0,6.0,101.254,10.0,5.333333333333333,4.509249752822894,0.6920000000000073
420,63,2025,14,Mercedes,3.0,4.0,75.201,5.0,6.666666666666667,2.886751345948128,0.3109999999999928
421,63,2025,15,Mercedes,4.0,5.0,69.255,3.0,6.0,3.6055512754639887,0.5929999999999893
422,63,2025,16,Mercedes,5.0,6.0,79.157,4.0,4.0,0.9999999999999972,0.3649999999999949
423,63,2025,17,Mercedes,2.0,5.0,101.455,5.0,4.0,0.9999999999999972,0.3379999999999938
424,63,2025,18,Mercedes,1.0,1.0,89.158,2.0,3.6666666666666665,1.5275252316519448,0.0
425,63,2025,19,Mercedes,6.0,4.0,92.826,1.0,2.6666666666666665,2.0816659994661317,0.3159999999999883
426,63,2025,20,Mercedes,7.0,4.0,76.034,6.0,3.0,2.6457513110645894,0.4480000000000075
427,63,2025,21,Mercedes,4.0,6.0,69.88,7.0,4.666666666666667,3.214550253664317,0.3689999999999998
428,63,2025,22,Mercedes,2.0,4.0,108.803,4.0,5.666666666666667,1.527525231651944,0.8689999999999998
429,63,2025,23,Mercedes,6.0,4.0,79.662,2.0,4.333333333333333,2.516611478423582,0.2750000000000057
430,63,2025,24,Mercedes,5.0,4.0,82.645,6.0,4.0,1.9999999999999976,0.4380000000000024
431,81,2025,1,McLaren,9.0,2.0,75.18,10.0,9.0,0.0,0.0840000000000031
432,81,2025,2,McLaren,1.0,1.0,90.641,9.0,9.0,0.0,0.0
433,81,2025,3,McLaren,3.0,3.0,87.027,1.0,5.0,5.656854249492381,0.0439999999999969
